strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Tasmania/436/2023	2023-12-24	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852956	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Tasmania/435/2023	2023-12-22	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852957	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Tasmania/428/2023	2023-12-07	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852958	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Tasmania/425/2023	2023-12-26	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852961	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Tasmania/448/2023	2023-12-16	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852962	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Fiji/283/2023	2023-10-17	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852965	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Fiji/286/2023	2023-10-09	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852966	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Victoria/20/2024	2024-01-03	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852970	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Victoria/24/2024	2024-01-06	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852974	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Darwin/1/2024	2024-01-05	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852976	WHO Collaborating Centre for Reference and Research on Influenza	Royal Darwin Hospital
A/Fiji/276/2023	2023-11-10	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852980	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Fiji/262/2023	2023-11-17	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852982	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Fiji/254/2023	2023-11-03	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852986	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Fiji/272/2023	2023-10-30	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852988	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Fiji/271/2023	2023-11-01	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852992	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Victoria/3237/2023	2023-11-17	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852993	WHO Collaborating Centre for Reference and Research on Influenza	Institute of Medical and Veterinary Science (IMVS)
A/Fiji/258/2023	2023-11-12	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852994	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/South_Australia/353/2023	2023-11-20	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852995	WHO Collaborating Centre for Reference and Research on Influenza	Institute of Medical and Veterinary Science (IMVS)
A/Fiji/275/2023	2023-11-09	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852996	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Victoria/3238/2023	2023-11-20	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852997	WHO Collaborating Centre for Reference and Research on Influenza	Institute of Medical and Veterinary Science (IMVS)
